M-V ; Basse Rue ; 7 ; 950.0 ; 44.175436,5.437957 ; 44.177900,5.443100 ; 2 ; 4
N-U ; Route du Clôt ; 6 ; 900.0 ; 44.175189,5.441624 ; 44.177400,5.442100 ; 0 ; 4
O-T ; Rue de la Bourgade ; 9 ; 850.0 ; 44.175726,5.440943 ; 44.176900,5.441300 ; 2 ; 4
P-S ; Route des Alpes ; 12 ; 1000.0 ; 44.187385,5.470729 ; 44.175600,5.438200 ; 0 ; 4
Q-R ; Chemin du Moulin ; 5 ; 800.0 ; 44.174900,5.438900 ; 44.175200,5.437900 ; 2 ; 2
R-Y ; Route d'Aulan ; 8 ; 950.0 ; 44.175200,5.437900 ; 44.175000,5.440000 ; 0 ; 3
S-X ; Haute Rue ; 6 ; 900.0 ; 44.175600,5.438200 ; 44.178900,5.441200 ; 2 ; 3
T-W ; Route du Plateau ; 7 ; 850.0 ; 44.176900,5.441300 ; 44.178400,5.440600 ; 0 ; 3
U-Z ; Chemin du Château d’Eau ; 5 ; 920.0 ; 44.177400,5.442100 ; 44.174900,5.441100 ; 2 ; 4
V-A ; Route du Plateau ; 4 ; 910.0 ; 44.177900,5.443100 ; 44.174745,5.441666 ; 0 ; 4
W-B ; Route du Col ; 3 ; 870.0 ; 44.178400,5.440600 ; 44.175994,5.444351 ; 2 ; 4
X-C ; Route du Col ; 2 ; 880.0 ; 44.178900,5.441200 ; 44.174459,5.445122 ; 0 ; 4
A-Q ; Chemin d’Entressargue-Seramian ; 45 ; 1100.0 ; 44.174745,5.441666 ; 44.174900,5.438900 ; 2 ; 1
A-R ; Chemin d’Entressargue-Seramian ; 40 ; 1200.0 ; 44.174745,5.441666 ; 44.175200,5.437900 ; 0 ; 1
B-O ; Rue Notre-Dame ; 38 ; 950.0 ; 44.175994,5.444351 ; 44.175726,5.440943 ; 2 ; 1
C-P ; Route de Ferrassières ; 42 ; 1250.0 ; 44.174459,5.445122 ; 44.187385,5.470729 ; 0 ; 1
D-Y ; Montée de la Calade ; 10 ; 1000.0 ; 44.175417,5.4398 ; 44.175000,5.440000 ; 2 ; 2
E-X ; Montée de la Calade ; 12 ; 1050.0 ; 44.17571,5.440413 ; 44.178900,5.441200 ; 0 ; 2
F-Z ; Rue Notre-Dame ; 20 ; 1200.0 ; 44.175777,5.441776 ; 44.174900,5.441100 ; 2 ; 2
G-T ; Montée de la Saute ; 14 ; 950.0 ; 44.175650,5.441000 ; 44.176900,5.441300 ; 0 ; 3
H-W ; Rue du Beffroi ; 8 ; 1020.0 ; 44.175776,5.438574 ; 44.178400,5.440600 ; 2 ; 3
I-V ; Calade du Château ; 12 ; 1080.0 ; 44.175649,5.439317 ; 44.177900,5.443100 ; 0 ; 3
J-U ; Mail du Château ; 10 ; 1010.0 ; 44.176372,5.439352 ; 44.177400,5.442100 ; 2 ; 3
K-S ; Mail du Château ; 9 ; 980.0 ; 44.176519,5.440152 ; 44.175600,5.438200 ; 0 ; 4
L-R ; Mail du Château ; 5 ; 1000.0 ; 44.176464,5.440421 ; 44.175200,5.437900 ; 2 ; 4
M-Q ; Basse Rue ; 8 ; 1100.0 ; 44.175436,5.437957 ; 44.174900,5.438900 ; 0 ; 4
N-P ; Route du Clôt ; 6 ; 1250.0 ; 44.175189,5.441624 ; 44.187385,5.470729 ; 2 ; 4
O-T ; Rue de la Bourgade ; 7 ; 1050.0 ; 44.175726,5.440943 ; 44.176900,5.441300 ; 0 ; 4
P-U ; Route des Alpes ; 10 ; 1100.0 ; 44.187385,5.470729 ; 44.177400,5.442100 ; 2 ; 4
Q-W ; Chemin du Moulin ; 5 ; 950.0 ; 44.174900,5.438900 ; 44.178400,5.440600 ; 0 ; 2
R-X ; Route d'Aulan ; 8 ; 1000.0 ; 44.175200,5.437900 ; 44.178900,5.441200 ; 2 ; 3
S-Z ; Haute Rue ; 6 ; 1050.0 ; 44.175600,5.438200 ; 44.174900,5.441100 ; 0 ; 3
T-Y ; Route du Plateau ; 7 ; 980.0 ; 44.176900,5.441300 ; 44.175000,5.440000 ; 2 ; 3
U-A ; Chemin du Château d’Eau ; 5 ; 1020.0 ; 44.177400,5.442100 ; 44.174745,5.441666 ; 0 ; 4
V-B ; Route du Plateau ; 4 ; 1080.0 ; 44.177900,5.443100 ; 44.175994,5.444351 ; 2 ; 4
W-C ; Route du Col ; 3 ; 1120.0 ; 44.178400,5.440600 ; 44.174459,5.445122 ; 0 ; 4
X-D ; Route du Col ; 2 ; 1150.0 ; 44.178900,5.441200 ; 44.175417,5.4398 ; 2 ; 4



POINTS DE COLLECTE:
Mairie ; 6 ; A-B ; 40.73
Camping ; 8 ; G-H ; 127.69
École ; 4 ; D-E ; 23.45
Zone industrielle ; 10 ; A.L-A.M ; 54.23

DEPOT:
Dépôt principal ; Z-A ; 41.15
